Timestep;Y;M;D;H;AvgOfRealTime
1;2015;1;20;0;11212.00
2;2015;1;20;1;10658.50
3;2015;1;20;2;10368.50
4;2015;1;20;3;10112.75
5;2015;1;20;4;10169.25
6;2015;1;20;5;10566.75
7;2015;1;20;6;11721.75
8;2015;1;20;7;12678.25
9;2015;1;20;8;12971.00
10;2015;1;20;9;13026.25
11;2015;1;20;10;13022.50
12;2015;1;20;11;13043.00
13;2015;1;20;12;12798.50
14;2015;1;20;13;12705.00
15;2015;1;20;14;12640.50
16;2015;1;20;15;12582.00
17;2015;1;20;16;12555.25
18;2015;1;20;17;13186.25
19;2015;1;20;18;13530.50
20;2015;1;20;19;13078.00
21;2015;1;20;20;12443.75
22;2015;1;20;21;11833.50
23;2015;1;20;22;12078.25
24;2015;1;20;23;11998.00
25;2015;1;21;0;11462.75
26;2015;1;21;1;11048.00
27;2015;1;21;2;10584.00
28;2015;1;21;3;10280.75
29;2015;1;21;4;10227.75
30;2015;1;21;5;10614.50
31;2015;1;21;6;11683.25
32;2015;1;21;7;12626.25
33;2015;1;21;8;12936.25
34;2015;1;21;9;13044.75
35;2015;1;21;10;12959.00
36;2015;1;21;11;13035.00
37;2015;1;21;12;12829.25
38;2015;1;21;13;12841.25
39;2015;1;21;14;12678.75
40;2015;1;21;15;12632.75
41;2015;1;21;16;12583.50
42;2015;1;21;17;13185.00
43;2015;1;21;18;13491.50
44;2015;1;21;19;13051.50
45;2015;1;21;20;12387.75
46;2015;1;21;21;11761.25
47;2015;1;21;22;11866.00
48;2015;1;21;23;11837.50
49;2015;1;22;0;11354.00
50;2015;1;22;1;10932.75
51;2015;1;22;2;10446.75
52;2015;1;22;3;10200.25
53;2015;1;22;4;10149.75
54;2015;1;22;5;10475.50
55;2015;1;22;6;11671.75
56;2015;1;22;7;12685.25
57;2015;1;22;8;12996.50
58;2015;1;22;9;13066.50
59;2015;1;22;10;13119.25
60;2015;1;22;11;13258.50
61;2015;1;22;12;13126.25
62;2015;1;22;13;13151.50
63;2015;1;22;14;13096.25
64;2015;1;22;15;13061.25
65;2015;1;22;16;12945.25
66;2015;1;22;17;13490.50
67;2015;1;22;18;13670.25
68;2015;1;22;19;13204.25
69;2015;1;22;20;12552.75
70;2015;1;22;21;11942.50
