Timestep;Y;M;D;H;real_time_measured_MW;monitored_capacity_MW;capacity_factor
1;2015;1;20;0;17.15;712.2;0.024080315
2;2015;1;20;1;57.41;712.2;0.080609379
3;2015;1;20;2;51.56;712.2;0.072395395
4;2015;1;20;3;24.3;712.2;0.034119629
5;2015;1;20;4;15.22;712.2;0.021370402
6;2015;1;20;5;8.33;712.2;0.011696153
7;2015;1;20;6;6.36;712.2;0.008930076
8;2015;1;20;7;6.36;712.2;0.008930076
9;2015;1;20;8;6.36;712.2;0.008930076
10;2015;1;20;9;6.36;712.2;0.008930076
11;2015;1;20;10;6.36;712.2;0.008930076
12;2015;1;20;11;6.36;712.2;0.008930076
13;2015;1;20;12;8.5;712.2;0.01193485
14;2015;1;20;13;41.32;712.2;0.058017411
15;2015;1;20;14;73.56;712.2;0.103285594
16;2015;1;20;15;85.8;712.2;0.120471778
17;2015;1;20;16;85.13;712.2;0.119531031
18;2015;1;20;17;153.8;712.2;0.215950576
19;2015;1;20;18;245.15;712.2;0.344215108
20;2015;1;20;19;261.75;712.2;0.367523168
21;2015;1;20;20;246.37;712.2;0.34592811
22;2015;1;20;21;322.14;712.2;0.452316765
23;2015;1;20;22;322.05;712.2;0.452190396
24;2015;1;20;23;225.14;712.2;0.316119068
25;2015;1;21;0;228.05;712.2;0.320204999
26;2015;1;21;1;295.55;712.2;0.414981747
27;2015;1;21;2;420.72;712.2;0.59073294
28;2015;1;21;3;380.84;712.2;0.534737433
29;2015;1;21;4;364.88;712.2;0.512327998
30;2015;1;21;5;412.96;712.2;0.579837124
31;2015;1;21;6;403.27;712.2;0.566231396
32;2015;1;21;7;381.25;712.2;0.535313114
33;2015;1;21;8;366.51;712.2;0.514616681
34;2015;1;21;9;311.76;712.2;0.437742207
35;2015;1;21;10;246.16;712.2;0.345633249
36;2015;1;21;11;248.72;712.2;0.349227745
37;2015;1;21;12;187.3;712.2;0.262987925
38;2015;1;21;13;112.75;712.2;0.158312272
39;2015;1;21;14;82.58;712.2;0.115950576
40;2015;1;21;15;66.51;712.2;0.093386689
41;2015;1;21;16;62.59;712.2;0.087882617
42;2015;1;21;17;115.94;712.2;0.162791351
43;2015;1;21;18;129.42;712.2;0.181718618
44;2015;1;21;19;124.15;712.2;0.174319012
45;2015;1;21;20;84.61;712.2;0.118800899
46;2015;1;21;21;60.68;712.2;0.085200786
47;2015;1;21;22;87.91;712.2;0.123434429
48;2015;1;21;23;78.28;712.2;0.109912946
49;2015;1;22;0;58.63;712.2;0.082322381
50;2015;1;22;1;69.42;712.2;0.09747262
51;2015;1;22;2;68.97;712.2;0.096840775
52;2015;1;22;3;60.56;712.2;0.085032294
53;2015;1;22;4;56.45;712.2;0.079261443
54;2015;1;22;5;73.21;712.2;0.102794159
55;2015;1;22;6;142.58;712.2;0.200196574
56;2015;1;22;7;143.11;712.2;0.200940747
57;2015;1;22;8;113.5;712.2;0.159365347
58;2015;1;22;9;118.02;712.2;0.165711879
59;2015;1;22;10;104;712.2;0.146026397
60;2015;1;22;11;114.69;712.2;0.161036226
61;2015;1;22;12;123.59;712.2;0.173532716
62;2015;1;22;13;100.61;712.2;0.141266498
63;2015;1;22;14;66.45;712.2;0.093302443
64;2015;1;22;15;81.58;712.2;0.114546476
65;2015;1;22;16;107.57;712.2;0.151039034
66;2015;1;22;17;109.54;712.2;0.153805111
67;2015;1;22;18;128.9;712.2;0.180988486
68;2015;1;22;19;163.72;712.2;0.229879247
69;2015;1;22;20;220.35;712.2;0.309393429
70;2015;1;22;21;238.57;712.2;0.33497613
71;2015;1;22;22;189.79;712.2;0.266484134
