Timestep;year;month;day;hour;real_time_measured_MW;monitored_capacity_MW;capacity_factor
1;2015;1;20;0;6.6625;1122.51;0.005935359
2;2015;1;20;1;7.0925;1122.51;0.006318429
3;2015;1;20;2;3.07;1122.51;0.002734942
4;2015;1;20;3;3.6725;1122.51;0.003271686
5;2015;1;20;4;2.4325;1122.51;0.002167019
6;2015;1;20;5;2.925;1122.51;0.002605767
7;2015;1;20;6;4.33;1122.51;0.003857427
8;2015;1;20;7;5.7725;1122.51;0.005142493
9;2015;1;20;8;6.69;1122.51;0.005959858
10;2015;1;20;9;8.0175;1122.51;0.007142475
11;2015;1;20;10;7.9225;1122.51;0.007057844
12;2015;1;20;11;8.0775;1122.51;0.007195927
13;2015;1;20;12;7.1525;1122.51;0.006371881
14;2015;1;20;13;6.73;1122.51;0.005995492
15;2015;1;20;14;7.34;1122.51;0.006538917
16;2015;1;20;15;6.845;1122.51;0.006097941
17;2015;1;20;16;7.9475;1122.51;0.007080115
18;2015;1;20;17;17.92;1122.51;0.015964223
19;2015;1;20;18;28.115;1122.51;0.025046547
20;2015;1;20;19;36.45;1122.51;0.032471871
21;2015;1;20;20;36.9675;1122.51;0.032932891
22;2015;1;20;21;45.38;1122.51;0.040427257
23;2015;1;20;22;77.09;1122.51;0.068676448
24;2015;1;20;23;99.485;1122.51;0.088627273
25;2015;1;21;0;129.0425;1122.51;0.114958887
26;2015;1;21;1;142.4875;1122.51;0.126936508
27;2015;1;21;2;147.5975;1122.51;0.131488806
28;2015;1;21;3;132.335;1122.51;0.117892046
29;2015;1;21;4;116.8425;1122.51;0.104090387
30;2015;1;21;5;151.765;1122.51;0.135201468
31;2015;1;21;6;172.415;1122.51;0.153597741
32;2015;1;21;7;158.68;1122.51;0.14136177
33;2015;1;21;8;152.1425;1122.51;0.135537768
34;2015;1;21;9;132.045;1122.51;0.117633696
35;2015;1;21;10;92.4025;1122.51;0.082317752
36;2015;1;21;11;57.8525;1122.51;0.051538516
37;2015;1;21;12;34.405;1122.51;0.030650061
38;2015;1;21;13;27.3625;1122.51;0.024376175
39;2015;1;21;14;21.2725;1122.51;0.018950833
40;2015;1;21;15;22.8225;1122.51;0.020331667
41;2015;1;21;16;42.025;1122.51;0.037438419
42;2015;1;21;17;102.58;1122.51;0.091384487
43;2015;1;21;18;165.615;1122.51;0.147539888
44;2015;1;21;19;172.8125;1122.51;0.153951858
45;2015;1;21;20;147.9825;1122.51;0.131831788
46;2015;1;21;21;128.65;1122.51;0.114609224
47;2015;1;21;22;122.13;1122.51;0.108800812
48;2015;1;21;23;113.4575;1122.51;0.101074823
49;2015;1;22;0;107.27;1122.51;0.095562623
50;2015;1;22;1;117.4525;1122.51;0.104633812
51;2015;1;22;2;127.4025;1122.51;0.113497875
52;2015;1;22;3;136.895;1122.51;0.12195437
53;2015;1;22;4;131.8925;1122.51;0.11749784
54;2015;1;22;5;125.765;1122.51;0.112039091
55;2015;1;22;6;126.5725;1122.51;0.112758461
56;2015;1;22;7;95.35;1122.51;0.084943564
57;2015;1;22;8;108.135;1122.51;0.096333218
58;2015;1;22;9;88.09;1122.51;0.078475916
59;2015;1;22;10;78.7575;1122.51;0.070161958
60;2015;1;22;11;83.5975;1122.51;0.074473724
61;2015;1;22;12;96.345;1122.51;0.08582997
62;2015;1;22;13;98.9575;1122.51;0.088157344
63;2015;1;22;14;89.175;1122.51;0.079442499
64;2015;1;22;15;82.2025;1122.51;0.073230973
65;2015;1;22;16;79.2025;1122.51;0.070558391
66;2015;1;22;17;109.21;1122.51;0.097290893
67;2015;1;22;18;122.9925;1122.51;0.10956918
68;2015;1;22;19;102.2075;1122.51;0.091052641
69;2015;1;22;20;94.0275;1122.51;0.083765401
70;2015;1;22;21;110.76;1122.51;0.098671727
71;2015;1;22;22;125.8525;1122.51;0.112117041
72;2015;1;22;23;95.52;1122.51;0.08509501
73;2015;1;23;0;65.5025;1122.51;0.0583536
74;2015;1;23;1;44.625;1122.51;0.039754657
75;2015;1;23;2;34.9625;1122.51;0.031146716
76;2015;1;23;3;22.74;1122.51;0.020258171
77;2015;1;23;4;21.285;1122.51;0.018961969
78;2015;1;23;5;22.14;1122.51;0.019723655
79;2015;1;23;6;22.1175;1122.51;0.019703611
80;2015;1;23;7;14.6;1122.51;0.013006566
81;2015;1;23;8;8.515;1122.51;0.007585679
82;2015;1;23;9;10.0525;1122.51;0.008955377
83;2015;1;23;10;9.9175;1122.51;0.008835111
84;2015;1;23;11;7.8875;1122.51;0.007026663
85;2015;1;23;12;4.005;1122.51;0.003567897
86;2015;1;23;13;3.39;1122.51;0.003020018
87;2015;1;23;14;3.2475;1122.51;0.00289307
