Timestep;Y;M;D;H;AvgOfCorrectedUpscaled;AvgOfMonitoredCapacity;capacity_factor
1;2015;1;20;0;0;2915.88;0
2;2015;1;20;1;0;2915.88;0
3;2015;1;20;2;0;2915.88;0
4;2015;1;20;3;0;2915.88;0
5;2015;1;20;4;0;2915.88;0
6;2015;1;20;5;0;2915.88;0
7;2015;1;20;6;0;2915.88;0
8;2015;1;20;7;0;2915.88;0
9;2015;1;20;8;0.13;2915.88;4.45835E-05
10;2015;1;20;9;36.56;2915.88;0.012538239
11;2015;1;20;10;192.94;2915.88;0.066168704
12;2015;1;20;11;467.17;2915.88;0.160215784
13;2015;1;20;12;651.61;2915.88;0.223469416
14;2015;1;20;13;645.32;2915.88;0.221312263
15;2015;1;20;14;539.37;2915.88;0.184976748
16;2015;1;20;15;339.41;2915.88;0.116400538
17;2015;1;20;16;106.73;2915.88;0.036603015
18;2015;1;20;17;3.48;2915.88;0.001193465
19;2015;1;20;18;0;2915.88;0
20;2015;1;20;19;0;2915.88;0
21;2015;1;20;20;0;2915.88;0
22;2015;1;20;21;0;2915.88;0
23;2015;1;20;22;0;2915.88;0
24;2015;1;20;23;0;2915.88;0
25;2015;1;21;0;0;2915.88;0
26;2015;1;21;1;0;2915.88;0
27;2015;1;21;2;0;2915.88;0
28;2015;1;21;3;0;2915.88;0
29;2015;1;21;4;0;2915.88;0
30;2015;1;21;5;0;2915.88;0
31;2015;1;21;6;0;2915.88;0
32;2015;1;21;7;0;2915.88;0
33;2015;1;21;8;2.62;2915.88;0.000898528
34;2015;1;21;9;82.11;2915.88;0.028159595
35;2015;1;21;10;271.95;2915.88;0.093265155
36;2015;1;21;11;512.26;2915.88;0.175679383
37;2015;1;21;12;749.7;2915.88;0.257109346
38;2015;1;21;13;809.82;2915.88;0.277727478
39;2015;1;21;14;629.06;2915.88;0.215735901
40;2015;1;21;15;358.01;2915.88;0.122779401
41;2015;1;21;16;117.16;2915.88;0.04017998
42;2015;1;21;17;5.33;2915.88;0.001827922
43;2015;1;21;18;0;2915.88;0
44;2015;1;21;19;0;2915.88;0
45;2015;1;21;20;0;2915.88;0
46;2015;1;21;21;0;2915.88;0
47;2015;1;21;22;0;2915.88;0
48;2015;1;21;23;0;2915.88;0
49;2015;1;22;0;0;2915.88;0
50;2015;1;22;1;0;2915.88;0
51;2015;1;22;2;0;2915.88;0
52;2015;1;22;3;0;2915.88;0
53;2015;1;22;4;0;2915.88;0
54;2015;1;22;5;0;2915.88;0
55;2015;1;22;6;0;2915.88;0
56;2015;1;22;7;0;2915.88;0
57;2015;1;22;8;0.57;2915.88;0.000195481
58;2015;1;22;9;41.4;2915.88;0.014198115
59;2015;1;22;10;97.33;2915.88;0.033379289
60;2015;1;22;11;130.47;2915.88;0.04474464
61;2015;1;22;12;152.78;2915.88;0.052395846
62;2015;1;22;13;135.61;2915.88;0.046507401
63;2015;1;22;14;96.19;2915.88;0.032988326
64;2015;1;22;15;52.16;2915.88;0.017888253
65;2015;1;22;16;13.25;2915.88;0.004544083
66;2015;1;22;17;0.22;2915.88;7.54489E-05
67;2015;1;22;18;0;2915.88;0
68;2015;1;22;19;0;2915.88;0
69;2015;1;22;20;0;2915.88;0
70;2015;1;22;21;0;2915.88;0
71;2015;1;22;22;0;2915.88;0
72;2015;1;22;23;0;2915.88;0
73;2015;1;23;0;0;2915.88;0
74;2015;1;23;1;0;2915.88;0
75;2015;1;23;2;0;2915.88;0
76;2015;1;23;3;0;2915.88;0
77;2015;1;23;4;0;2915.88;0
78;2015;1;23;5;0;2915.88;0
79;2015;1;23;6;0;2915.88;0
80;2015;1;23;7;0;2915.88;0
81;2015;1;23;8;0.52;2915.88;0.000178334
82;2015;1;23;9;56.92;2915.88;0.019520694
83;2015;1;23;10;215.64;2915.88;0.073953661
84;2015;1;23;11;382.38;2915.88;0.131137084
85;2015;1;23;12;466.48;2915.88;0.159979149
86;2015;1;23;13;478.41;2915.88;0.164070538
87;2015;1;23;14;396.03;2915.88;0.135818346
88;2015;1;23;15;230.02;2915.88;0.078885276
89;2015;1;23;16;79.59;2915.88;0.027295362
90;2015;1;23;17;3.21;2915.88;0.001100868
91;2015;1;23;18;0;2915.88;0
92;2015;1;23;19;0;2915.88;0
93;2015;1;23;20;0;2915.88;0
94;2015;1;23;21;0;2915.88;0
95;2015;1;23;22;0;2915.88;0
96;2015;1;23;23;0;2915.88;0
97;2015;1;24;0;0;2915.88;0
98;2015;1;24;1;0;2915.88;0
99;2015;1;24;2;0;2915.88;0
100;2015;1;24;3;0;2915.88;0
101;2015;1;24;4;0;2915.88;0
102;2015;1;24;5;0;2915.88;0
103;2015;1;24;6;0;2915.88;0
104;2015;1;24;7;0;2915.88;0
105;2015;1;24;8;0.01;2915.88;3.4295E-06
106;2015;1;24;9;15.75;2915.88;0.005401457
107;2015;1;24;10;81.17;2915.88;0.027837222
108;2015;1;24;11;255.67;2915.88;0.087681935
109;2015;1;24;12;500.55;2915.88;0.171663443
110;2015;1;24;13;544.46;2915.88;0.186722362
111;2015;1;24;14;458.92;2915.88;0.157386449
112;2015;1;24;15;288.05;2915.88;0.098786644
113;2015;1;24;16;102.77;2915.88;0.035244935
114;2015;1;24;17;5.18;2915.88;0.001776479
115;2015;1;24;18;0;2915.88;0
116;2015;1;24;19;0;2915.88;0
117;2015;1;24;20;0;2915.88;0
118;2015;1;24;21;0;2915.88;0
119;2015;1;24;22;0;2915.88;0
120;2015;1;24;23;0;2915.88;0
121;2015;1;25;0;0;2915.88;0
122;2015;1;25;1;0;2915.88;0
